1,0,0,0
27,0,0,0
53,0,1,1
79,0,6,5
205,3,15,21
306,6,42,80
407,10,50,84
508,15,57,92
609,22,142,310
710,30,219,322
811,41,201,335
912,49,212,349
2013,231,650,1466
3014,530,2580,5351
4015,930,2319,6018
5016,1492,6413,20077
6017,2069,7609,21015
7018,2961,9687,22612
8019,3773,9059,23851
9020,4652,24283,77791
